fetched_at,place_name,AREA_NM,AREA_CD,_key_used,BUS_RESULT_MSG,BUS_STN_ID,BUS_ARS_ID,BUS_STN_NM,BUS_STN_X,BUS_STN_Y
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100000360,1733,창경궁.고궁호텔.메이플레이스호텔,126.9974492169,37.5765581609
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100000334,1767,종로3가역11번출구,126.9932082199,37.5706348964
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100000408,1903,창경궁,126.9964163097,37.5791596347
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100000409,1904,창덕궁,126.9901776043,37.5775301708
2026-06-18T01:25:41.128559+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,정상 호출되었습니다.,122000095,23198,무역센터,127.0610582829,37.512027938
2026-06-18T01:25:41.128559+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,정상 호출되었습니다.,122000096,23199,무역센터,127.0619901081,37.5103013849
2026-06-18T01:25:41.128559+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,정상 호출되었습니다.,122000098,23201,한국무역센터.삼성역,127.060899,37.508448
2026-06-18T01:25:41.128559+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,정상 호출되었습니다.,122000597,23804,삼성역.그랜드인터컨티넨탈,127.060905,37.508435
2026-06-18T01:25:41.128559+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,정상 호출되었습니다.,122900015,23818,코엑스동문,127.0608775706,37.5122075875
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000070,2169,을지로6가.국립중앙의료원,127.0062316194,37.5661698346
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000071,2170,동대문역사문화공원역8번출구,127.0072096931,37.5650528273
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000072,2171,동대문역사문화공원역9번출구,127.0077222561,37.5651725525
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000073,2172,을지로6가.국립중앙의료원,127.0058434821,37.5664631128
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000074,2173,동대문역사문화공원,127.0083555318,37.5673541422
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000075,2174,동대문역사문화공원,127.0091685169,37.5674835037
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000077,2177,충무아트센터.스포츠센터.중부소방서,127.0135231437,37.5651675256
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000079,2179,성동공업고등학교(무궁화회관),127.0157558376,37.5683481924
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000080,2180,성동공업고등학교앞,127.0161294881,37.5686950625
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000124,2229,청계7가.동평화.청평화시장,127.0138508174,37.5695135434
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000130,2235,광희동.동대문역사문화공원역,127.0091092289,37.5654113309
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000136,2241,청계6가.오간수교,127.0090361408,37.5694851752
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000258,2279,서울기동대.광희초등학교,127.0144829458,37.5679222068
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000261,2280,동대문역사문화공원동문,127.0119962039,37.567700749
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000256,2687,을지로코업레지던스,127.0053974501,37.5662333554
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000289,2709,동대문역사문화공원,127.009245066,37.5653851887
