fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME,CMRCL_RSB
2026-07-20T02:11:31.325382+09:00,가락시장,가락시장,POI058,KEY_2,보통,6,400000,450000,86.4,13.6,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,20260720 0140,
2026-07-20T02:11:31.325382+09:00,가로수길,가로수길,POI059,KEY_3,한산한,7,50000,60000,72.7,27.3,0.0,0.0,81.8,0.0,9.1,9.1,88.2,11.8,20260720 0120,
2026-07-20T02:11:31.325382+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,한산한,26,50000,60000,68.2,31.8,0.0,0.0,31.8,0.0,68.2,0.0,100.0,0.0,20260719 2140,
2026-07-20T02:11:31.325382+09:00,김포공항,김포공항,POI061,KEY_1,한산한,4,20000,30000,7.9,92.1,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,20260719 2210,
2026-07-20T02:11:31.325382+09:00,남대문시장,남대문시장,POI115,KEY_2,한산한,4,20000,30000,100.0,0.0,0.0,0.0,0.0,71.4,28.6,0.0,100.0,0.0,20260719 2220,
2026-07-20T02:11:31.325382+09:00,노량진,노량진,POI063,KEY_3,한산한,7,30000,40000,84.4,15.6,0.0,65.6,6.3,0.0,28.1,0.0,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,한산한,6,30000,40000,60.0,40.0,0.0,28.6,0.0,34.3,14.3,22.9,100.0,0.0,20260719 2140,
2026-07-20T02:11:31.325382+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,한산한,4,80000,90000,23.5,76.5,0.0,0.0,23.5,28.2,0.0,48.2,100.0,0.0,20260719 2120,
2026-07-20T02:11:31.325382+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2,한산한,5,30000,40000,88.2,11.8,0.0,5.9,5.9,0.0,41.2,47.1,100.0,0.0,20260719 2300,
2026-07-20T02:11:31.325382+09:00,서촌,서촌,POI067,KEY_3,한산한,4,20000,30000,100.0,0.0,0.0,0.0,14.3,85.7,0.0,0.0,100.0,0.0,20260719 2340,
2026-07-20T02:11:31.325382+09:00,성수카페거리,성수카페거리,POI068,KEY_4,한산한,5,50000,60000,20.0,80.0,0.0,4.0,16.0,68.0,12.0,0.0,100.0,0.0,20260720 0100,
2026-07-20T02:11:31.325382+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,한산한,11,80000,90000,86.7,13.3,0.0,0.0,34.7,65.3,0.0,0.0,93.8,6.3,20260720 0120,
2026-07-20T02:11:31.325382+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,한산한,5,40000,50000,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,20260720 0120,
2026-07-20T02:11:31.325382+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3,한산한,4,20000,30000,77.8,22.2,0.0,22.2,55.6,22.2,0.0,0.0,81.8,18.2,20260720 0110,
2026-07-20T02:11:31.325382+09:00,여의도,여의도,POI072,KEY_4,한산한,5,20000,30000,89.7,10.3,0.0,10.3,13.8,20.7,55.2,0.0,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,연남동,연남동,POI073,KEY_1,한산한,4,20000,30000,84.2,15.8,0.0,15.8,31.6,0.0,21.1,31.6,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,한산한,14,50000,60000,25.0,75.0,0.0,75.0,25.0,0.0,0.0,0.0,100.0,0.0,20260720 0140,
2026-07-20T02:11:31.325382+09:00,용리단길,용리단길,POI076,KEY_3,한산한,4,150000,200000,100.0,0.0,0.0,77.2,22.8,0.0,0.0,0.0,100.0,0.0,20260720 0110,
2026-07-20T02:11:31.325382+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,한산한,4,20000,30000,98.6,1.4,0.0,10.8,79.8,9.4,0.0,0.0,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,익선동,익선동,POI116,KEY_1,한산한,4,20000,30000,71.4,28.6,0.0,0.0,92.9,7.1,0.0,0.0,53.8,46.2,20260720 0140,
2026-07-20T02:11:31.325382+09:00,인사동,인사동,POI078,KEY_2,한산한,5,60000,70000,9.1,90.9,0.0,4.5,4.5,0.0,90.9,0.0,100.0,0.0,20260719 2340,
2026-07-20T02:11:31.325382+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,한산한,10,300000,350000,56.4,43.6,0.0,70.3,6.6,23.1,0.0,0.0,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,한산한,15,300000,350000,83.3,16.7,9.8,34.7,24.3,3.5,25.6,2.2,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,한산한,5,100000,150000,57.6,42.4,0.0,45.3,30.2,10.8,13.7,0.0,100.0,0.0,20260719 2310,
2026-07-20T02:11:31.325382+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,한산한,4,20000,30000,74.1,25.9,0.0,25.9,11.1,51.9,11.1,0.0,100.0,0.0,20260719 2340,
2026-07-20T02:11:31.325382+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,한산한,4,70000,80000,81.6,18.4,0.0,51.3,0.0,0.0,48.7,0.0,100.0,0.0,20260720 0110,
2026-07-20T02:11:31.325382+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_4,바쁜,7,150000,200000,5.6,94.4,0.0,15.2,2.5,0.0,48.2,34.0,100.0,0.0,20260719 2130,
2026-07-20T02:11:31.325382+09:00,DMC(디지털미디어시티),DMC(디지털미디어시티),POI084,KEY_1,한산한,7,30000,40000,69.7,30.3,0.0,9.1,90.9,0.0,0.0,0.0,100.0,0.0,20260720 0100,
2026-07-20T02:11:31.325382+09:00,가산디지털단지역,가산디지털단지역,POI013,KEY_2,한산한,6,50000,60000,94.8,5.2,0.0,5.2,87.9,0.0,6.9,0.0,100.0,0.0,20260720 0000,
2026-07-20T02:11:31.325382+09:00,강남역,강남역,POI014,KEY_3,한산한,22,600000,650000,68.5,31.5,0.0,38.1,56.8,2.9,2.1,0.0,83.7,16.3,20260720 0150,
2026-07-20T02:11:31.325382+09:00,건대입구역,건대입구역,POI015,KEY_4,한산한,10,200000,250000,64.5,35.5,0.0,73.2,21.9,1.8,0.0,3.1,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,고덕역,고덕역,POI016,KEY_1,한산한,5,20000,30000,4.2,95.8,4.2,16.7,79.2,0.0,0.0,0.0,100.0,0.0,20260719 2300,
