fetched_at,place_name,AREA_NM,AREA_CD,_key_used
2026-06-27T00:05:06.108194+09:00,사당역,사당역,POI029,KEY_4
2026-06-27T00:05:06.108194+09:00,삼각지역,삼각지역,POI030,KEY_1
2026-06-27T00:05:06.108194+09:00,서울대입구역,서울대입구역,POI031,KEY_2
2026-06-27T00:05:06.108194+09:00,서울식물원·마곡나루역,서울식물원·마곡나루역,POI032,KEY_3
2026-06-27T00:05:06.108194+09:00,서울역,서울역,POI033,KEY_4
2026-06-27T00:05:06.108194+09:00,선릉역,선릉역,POI034,KEY_1
2026-06-27T00:05:06.108194+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2
2026-06-27T00:05:06.108194+09:00,수유역,수유역,POI036,KEY_3
2026-06-27T00:05:06.108194+09:00,숭례문,숭례문,POI131,KEY_4
2026-06-27T00:05:06.108194+09:00,시의회 앞,시의회 앞,POI130,KEY_1
2026-06-27T00:05:06.108194+09:00,신논현역·논현역,신논현역·논현역,POI037,KEY_2
2026-06-27T00:05:06.108194+09:00,신도림역,신도림역,POI038,KEY_3
2026-06-27T00:05:06.108194+09:00,신림역,신림역,POI039,KEY_4
2026-06-27T00:05:06.108194+09:00,신정네거리역,신정네거리역,POI117,KEY_1
2026-06-27T00:05:06.108194+09:00,신촌·이대역,신촌·이대역,POI040,KEY_2
2026-06-27T00:05:06.108194+09:00,쌍문역,쌍문역,POI070,KEY_3
2026-06-27T00:05:06.108194+09:00,양재역,양재역,POI041,KEY_4
2026-06-27T00:05:06.108194+09:00,역삼역,역삼역,POI042,KEY_1
2026-06-27T00:05:06.108194+09:00,연신내역,연신내역,POI043,KEY_2
2026-06-27T00:05:06.108194+09:00,오목교역·목동운동장,오목교역·목동운동장,POI044,KEY_3
2026-06-27T00:05:06.108194+09:00,왕십리역,왕십리역,POI045,KEY_4
2026-06-27T00:05:06.108194+09:00,용산역,용산역,POI046,KEY_1
2026-06-27T00:05:06.108194+09:00,이태원역,이태원역,POI047,KEY_2
2026-06-27T00:05:06.108194+09:00,잠실새내역,잠실새내역,POI118,KEY_3
2026-06-27T00:05:06.108194+09:00,잠실역,잠실역,POI119,KEY_4
2026-06-27T00:05:06.108194+09:00,장지역,장지역,POI048,KEY_1
2026-06-27T00:05:06.108194+09:00,장한평역,장한평역,POI049,KEY_2
2026-06-27T00:05:06.108194+09:00,천호역,천호역,POI050,KEY_3
2026-06-27T00:05:06.108194+09:00,총신대입구(이수)역,총신대입구(이수)역,POI051,KEY_4
2026-06-27T00:05:06.108194+09:00,충정로역,충정로역,POI052,KEY_1
2026-06-27T00:05:06.108194+09:00,합정역,합정역,POI053,KEY_2
2026-06-27T00:05:06.108194+09:00,혜화역,혜화역,POI054,KEY_3
2026-06-27T00:05:06.108194+09:00,홍대입구역(2호선),홍대입구역(2호선),POI055,KEY_4
2026-06-27T00:05:06.108194+09:00,회기역,회기역,POI056,KEY_1
2026-06-27T00:58:16.431663+09:00,경복궁,경복궁,POI008,KEY_1
2026-06-27T00:58:16.431663+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2
2026-06-27T00:58:16.431663+09:00,보신각,보신각,POI010,KEY_3
2026-06-27T00:58:16.431663+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4
2026-06-27T00:58:16.431663+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1
2026-06-27T00:58:16.431663+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2
2026-06-27T00:58:16.431663+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3
2026-06-27T00:58:16.431663+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4
2026-06-27T00:58:16.431663+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1
2026-06-27T00:58:16.431663+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2
2026-06-27T00:58:16.431663+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3
2026-06-27T00:58:16.431663+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4
2026-06-27T00:58:16.431663+09:00,강서한강공원,강서한강공원,POI085,KEY_1
2026-06-27T00:58:16.431663+09:00,고척돔,고척돔,POI086,KEY_2
2026-06-27T00:58:16.431663+09:00,광나루한강공원,광나루한강공원,POI087,KEY_3
2026-06-27T00:58:16.431663+09:00,광화문광장,광화문광장,POI088,KEY_4
2026-06-27T00:58:16.431663+09:00,국립중앙박물관·용산가족공원,국립중앙박물관·용산가족공원,POI089,KEY_1
