fetched_at,place_name,AREA_NM,AREA_CD,_key_used,EVENT_NM,EVENT_PERIOD,EVENT_PLACE,EVENT_X,EVENT_Y,PAY_YN,THUMBNAIL,URL,EVENT_ETC_DETAIL
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,뮤지컬 [베토벤],2026-06-09~2026-08-18,세종대극장,126.9760053,37.5726241,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8d648c25ae3e4c8198caf34a2b1d8eac&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157826&menuNo=200008,
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,2026 의정부지 역사유적광장 전통무예행사,2026-04-11~2026-10-31,의정부지 역사유적광장,126.977967142855,37.5748036513699,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=628a9bae996a407bbfee67752dd508db&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157327&menuNo=200010,
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,2026년 집옥재(팔우정 포함) 작은 도서관 개방,2026-04-01~2026-10-31,경복궁 집옥재·팔우정,126.976842133821,37.5759040910202,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d70525e916b548cda13443c9e10190f3&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157383&menuNo=200011,
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,2026년 경복궁 [경회루·향원정] 특별관람,2026-04-01~2026-10-30,경복궁 경회루·향원정,126.976842133821,37.5759040910202,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=37630da9c19349fbac8494e92e5c64d8&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157389&menuNo=200011,
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,[세종문화회관] 세종예술아카데미 [정승빈 작가] 스테들러와 함께하는 여행드로잉 클래스,2026-03-31~2026-09-15,세종예술아카데미 스퀘어홀,126.9760053,37.5726241,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0247bcdf4484818baaca748c977391f&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157026&menuNo=200011,
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,[세종문화회관] 세종예술아카데미 [박인홍 작가] 스테들러와 함께하는 여행드로잉 클래스,2026-03-31~2026-08-31,세종예술아카데미 스퀘어홀,126.9760053,37.5726241,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c9b88469d8f0468e960f00b0e5b0785d&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157025&menuNo=200011,
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,[세종문화회관] 세종예술아카데미 [정연석 작가] 스테들러와 함께하는 여행드로잉 클래스,2026-03-28~2026-09-05,세종예술아카데미 스퀘어홀,126.9760053,37.5726241,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=df2237ca7f754d009407bc3321cae86f&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157028&menuNo=200011,
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,[세종문화회관] 세종예술아카데미 [이승익 작가] 스테들러와 함께하는 여행드로잉 클래스,2026-03-28~2026-08-29,세종예술아카데미 스퀘어홀,126.9760053,37.5726241,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=09ebfb8dbbcf453e86aadfe529b90ff8&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157027&menuNo=200011,
2026-06-30T05:45:50.298365+09:00,광화문광장,광화문광장,POI088,KEY_4,[국가유산청 궁능유적본부] 수문장 순라의식,2026-03-01~2026-11-29,(토요일)경복궁 내부 (일요일， 공휴일)인사동 문화의 거리,126.976842133821,37.5759040910202,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=923de3d9169e463b9c8098a8e132be38&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=156996&menuNo=200013,
2026-06-30T05:45:50.298365+09:00,남산공원,남산공원,POI091,KEY_3,2026 서울시 태권도 공연,2026-05-09~2026-10-18,남산골한옥마을， DDP(동대문디자인플라자) 등,126.994440072131,37.559304933707146,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=292cefda02074a1bba028aea65b48755&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157783&menuNo=200010,
