fetched_at,place_name,AREA_NM,AREA_CD,_key_used,LINK_ID,ROAD_NM,START_ND_CD,START_ND_NM,START_ND_XY,END_ND_CD,END_ND_NM,END_ND_XY,DIST,SPD,IDX,XYLIST
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000001002,새문안로,1000007600,주한요르단명예영사관,126.9762019638013300_37.5701150604124336,1000008402,신문로1가141,126.9756655929920299_37.5701107106503116,47.0,48.0,원활,126.9756655929920299_37.5701107106503116|126.9762019638013300_37.5701150604124336
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000001003,새문안로,1000009003,세종대로사거리,126.9769600332011521_37.5701212054532618,1000007600,주한요르단명예영사관,126.9762019638013300_37.5701150604124336,67.0,44.0,원활,126.9762019638013300_37.5701150604124336|126.9766258211001428_37.5701184968726238|126.9769600332011521_37.5701212054532618
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000001301,종로,1000009001,세종대로사거리,126.9771187019505163_37.5702314111293560,1000009700,종로1가1-3,126.9777559525715844_37.5702421551131351,56.0,35.0,원활,126.9777559525715844_37.5702421551131351|126.9771187019505163_37.5702314111293560
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000001302,종로,1000009700,종로1가1-3,126.9777559525715844_37.5702421551131351,1000008804,광화문우체국,126.9784336631558119_37.5702494972367163,60.0,34.0,원활,126.9784336631558119_37.5702494972367163|126.9779432056922133_37.5702453112944994|126.9777559525715844_37.5702421551131351
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000001303,종로,1000008801,광화문우체국,126.9785701334498214_37.5702506615867833,1000008609,종로구청입구교차로,126.9792481536049564_37.5702564438606927,60.0,33.0,원활,126.9792481536049564_37.5702564438606927|126.9785701334498214_37.5702506615867833
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000001401,종로,1000008000,동아일보사,126.9777588281918099_37.5701340596360964,1000009002,세종대로사거리,126.9770959172438580_37.5701228829325231,59.0,29.0,원활,126.9770959172438580_37.5701228829325231|126.9777588281918099_37.5701340596360964
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000001402,종로,1000008803,광화문우체국,126.9784351192109852_37.5701413844145975,1000008000,동아일보사,126.9777588281918099_37.5701340596360964,60.0,34.0,원활,126.9777588281918099_37.5701340596360964|126.9779453713088060_37.5701372048683524|126.9784351192109852_37.5701413844145975
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000001403,종로,1000008608,종로구청입구교차로,126.9792446499360778_37.5701482878816435,1000008802,광화문우체국,126.9785715892256235_37.5701425486416056,59.0,32.0,원활,126.9785715892256235_37.5701425486416056|126.9792446499360778_37.5701482878816435
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000003301,청계천로,1010033802,호주관광청,126.9797619415674745_37.5689431360811881,1010034101,무교동사거리,126.9793610650683036_37.5689718470786644,36.0,12.0,정체,126.9793610650683036_37.5689718470786644|126.9797619415674745_37.5689431360811881
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000003400,청계천로,1010034301,무교동사거리,126.9793440155466442_37.5692674718774171,1010033702,광교사거리,126.9827120922386285_37.5690419071249693,299.0,18.0,서행,126.9827120922386285_37.5690419071249693|126.9793440155466442_37.5692674718774171
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000003700,청계천로,1010034102,무교동사거리,126.9792256224440905_37.5689816845044717,1000002000,청계광장,126.9771060680401717_37.5690311929919076,188.0,8.0,정체,126.9771060680401717_37.5690311929919076|126.9774434053876035_37.5690828687536680|126.9775440319711919_37.5690924240737019|126.9777213322496863_37.5690924576651568|126.9792256224440905_37.5689816845044717
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000003801,청계천로,1000031000,청계광장,126.9770921904126482_37.5694157550093379,1000007002,동아일보사,126.9783460265061024_37.5693222473721278,111.0,8.0,정체,126.9783460265061024_37.5693222473721278|126.9773834142662849_37.5693879956262435|126.9770921904126482_37.5694157550093379
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000003802,청계천로,1000007001,동아일보사,126.9784814758997982_37.5693140408546356,1010034302,무교동사거리,126.9792084451945726_37.5692755952973627,64.0,24.0,서행,126.9792084451945726_37.5692755952973627|126.9784814758997982_37.5693140408546356
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000004101,세종대로21길,1010036201,청계광장,126.9769724776174371_37.5689758850454254,1010034202,속성변화점,126.9761089175425468_37.5690525772719468,77.0,47.0,원활,126.9761089175425468_37.5690525772719468|126.9762590231906501_37.5690173503827225|126.9766423549418590_37.5690116154256089|126.9767891468850252_37.5690047706819641|126.9769724776174371_37.5689758850454254
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000004201,세종대로21길,1010034201,속성변화점,126.9761701151880970_37.5691453161545397,1010036202,청계광장,126.9769681640981389_37.5690870395436463,71.0,18.0,서행,126.9769681640981389_37.5690870395436463|126.9768062997742106_37.5691122763363623|126.9766476039636132_37.5691196746613940|126.9762762102917009_37.5691252318358337|126.9761701151880970_37.5691453161545397
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000004202,세종대로21길,1010034502,조선일보본사,126.9758538003934376_37.5694432589816216,1010034201,속성변화점,126.9761701151880970_37.5691453161545397,44.0,53.0,원활,126.9761701151880970_37.5691453161545397|126.9759646865800136_37.5693016963708999|126.9759165276521173_37.5693486608578553|126.9758538003934376_37.5694432589816216
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000004203,세종대로21길,1000008402,신문로1가141,126.9756655929920299_37.5701107106503116,1010034501,조선일보본사,126.9758232836738614_37.5695216067234981,67.0,16.0,서행,126.9758232836738614_37.5695216067234981|126.9756655929920299_37.5701107106503116
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000005000,무교로,1000008607,종로구청입구교차로,126.9793805233784241_37.5701494116837509,1010034301,무교동사거리,126.9793440155466442_37.5692674718774171,98.0,25.0,원활,126.9793440155466442_37.5692674718774171|126.9793805233784241_37.5701494116837509
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000005101,세종대로,1010036202,청계광장,126.9769681640981389_37.5690870395436463,1000007300,세종로1-80,126.9769534872362158_37.5695820797097966,55.0,23.0,서행,126.9769534872362158_37.5695820797097966|126.9769561223222638_37.5694207011224321|126.9769681640981389_37.5690870395436463
