adstr_cd,dong_nm,category,pred_sales,pred_sales_백만원,rank
11320521,도봉1동,한식음식점,8739702000.0,8739.7,1
11320521,도봉1동,호프-간이주점,1451959700.0,1452.0,2
11320521,도봉1동,커피-음료,563858750.0,563.9,3
11320522,도봉2동,한식음식점,2928779300.0,2928.8,1
11320522,도봉2동,커피-음료,382468740.0,382.5,2
11320522,도봉2동,호프-간이주점,354630300.0,354.6,3
11320660,쌍문1동,한식음식점,904912000.0,904.9,1
11320660,쌍문1동,분식전문점,387964500.0,388.0,2
11320660,쌍문1동,커피-음료,319183870.0,319.2,3
11320670,쌍문2동,한식음식점,4513958000.0,4514.0,1
11320670,쌍문2동,호프-간이주점,348883300.0,348.9,2
11320670,쌍문2동,제과점,291253380.0,291.3,3
11320680,쌍문3동,한식음식점,4457838600.0,4457.8,1
11320680,쌍문3동,호프-간이주점,856771460.0,856.8,2
11320680,쌍문3동,제과점,454198900.0,454.2,3
11320681,쌍문4동,한식음식점,1423349500.0,1423.3,1
11320681,쌍문4동,분식전문점,283967600.0,284.0,2
11320681,쌍문4동,커피-음료,177149760.0,177.1,3
11320690,방학1동,한식음식점,9902907000.0,9902.9,1
11320690,방학1동,호프-간이주점,2237573600.0,2237.6,2
11320690,방학1동,제과점,1108691700.0,1108.7,3
11320700,방학2동,한식음식점,2836613600.0,2836.6,1
11320700,방학2동,분식전문점,319123600.0,319.1,2
11320700,방학2동,제과점,273528420.0,273.5,3
11320710,방학3동,한식음식점,3771071000.0,3771.1,1
11320710,방학3동,커피-음료,238811100.0,238.8,2
11320710,방학3동,제과점,67465580.0,67.5,3
11350560,월계1동,한식음식점,7415067600.0,7415.1,1
11350560,월계1동,패스트푸드점,1048105700.0,1048.1,2
11350560,월계1동,커피-음료,780353700.0,780.4,3
11350570,월계2동,한식음식점,461611170.0,461.6,1
11350570,월계2동,제과점,298476030.0,298.5,2
11350570,월계2동,커피-음료,98559770.0,98.6,3
11350580,월계3동,한식음식점,2504917000.0,2504.9,1
11350580,월계3동,커피-음료,220985950.0,221.0,2
11350580,월계3동,제과점,214229820.0,214.2,3
11350595,공릉1동,한식음식점,17082580000.0,17082.6,1
11350595,공릉1동,호프-간이주점,2378085000.0,2378.1,2
11350595,공릉1동,커피-음료,2376171800.0,2376.2,3
11350600,공릉2동,한식음식점,7922484000.0,7922.5,1
11350600,공릉2동,커피-음료,1530071800.0,1530.1,2
11350600,공릉2동,제과점,1206675300.0,1206.7,3
