fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SUB_STN_NM,SUB_STN_LINE,SUB_STN_RADDR,SUB_STN_JIBUN,SUB_STN_X,SUB_STN_Y,SUB_FACIINFO,SUB_DETAIL
2026-06-12T00:22:23.638213+09:00,김포공항,김포공항,POI061,KEY_1,김포공항,9,서울특별시 강서구 하늘길 지하77,,126.802152,37.561916,,
2026-06-12T00:22:23.638213+09:00,노량진,노량진,POI063,KEY_3,노량진,9,서울특별시 동작구 노량진로 지하130,,126.941005,37.513534,,
2026-06-12T00:22:23.638213+09:00,노량진,노량진,POI063,KEY_3,노들,9,서울특별시 동작구 노량진로 지하238 (본동),,126.953222,37.512887,,
2026-06-12T00:22:23.638213+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,시청,1,서울특별시 중구 세종대로 지하101(정동),,126.977088,37.565715,,
2026-06-12T00:22:23.638213+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,시청,2,서울특별시 중구 서소문로 지하127(서소문동),,126.975411,37.563588,,
2026-06-12T00:22:23.638213+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,서대문,5,서울특별시 종로구 통일로 지하126(평동),,126.966641,37.565773,,
2026-06-12T00:22:23.638213+09:00,성수카페거리,성수카페거리,POI068,KEY_4,뚝섬,2,서울특별시 성동구 아차산로 18(성수동1가),,127.047367,37.547184,,
2026-06-12T00:22:23.638213+09:00,성수카페거리,성수카페거리,POI068,KEY_4,성수,2,서울특별시 성동구 아차산로 100(성수동2가),,127.055961,37.544581,,
2026-06-12T00:22:23.638213+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,석촌,9,서울특별시 송파구 석촌동 209,,127.10704,37.505208,,
2026-06-12T00:22:23.638213+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,송파나루,9,서울특별시 송파구 백제고분로 지하 446,,127.112216,37.510372,,
2026-06-12T00:22:23.638213+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,석촌,8,서울특별시 송파구 송파대로 지하439(석촌동),,127.106832,37.505557,,
2026-06-12T00:22:23.638213+09:00,여의도,여의도,POI072,KEY_4,샛강,신림선,서울특별시 영등포구 의사당대로 지하166 (여의도동),,126.929399,37.5170969,,
2026-06-12T00:22:23.638213+09:00,여의도,여의도,POI072,KEY_4,신길,5,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),,126.914839,37.517623,,
2026-06-12T00:22:23.638213+09:00,여의도,여의도,POI072,KEY_4,여의도,5,서울특별시 영등포구 여의나루로 지하40(여의도동),,126.924357,37.521747,,
2026-06-12T00:22:23.638213+09:00,여의도,여의도,POI072,KEY_4,여의나루,5,서울특별시 영등포구 여의동로 지하343(여의도동),,126.932901,37.527098,,
2026-06-12T00:22:23.638213+09:00,여의도,여의도,POI072,KEY_4,국회의사당,9,서울특별시 영등포구 국회대로 지하758,,126.917874,37.528105,,
2026-06-12T00:22:23.638213+09:00,여의도,여의도,POI072,KEY_4,여의도,9,서울특별시 영등포구 의사당대로 지하101 (여의도동),,126.92403,37.52176,,
2026-06-12T00:22:23.638213+09:00,여의도,여의도,POI072,KEY_4,샛강,9,서울특별시 영등포구 의사당대로 지하166,,126.928422,37.517274,,
