fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST,WEATHER_STTS__FCST24HOURS
2026-08-18T00:35:30.987869+09:00,홍제폭포,홍제폭포,POI128,KEY_1,2026-08-18 00:30,24.3,32.0,23.0,94,N,0.1,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,20,좋음,25.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,가락시장,가락시장,POI058,KEY_2,2026-08-18 00:30,25.7,33.0,24.0,90,ESE,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,점검중,0,점검중,0,좋음,30.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,가로수길,가로수길,POI059,KEY_3,2026-08-18 00:30,25.3,32.0,24.0,95,N,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,17,좋음,31.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,2026-08-18 00:30,25.1,32.0,24.0,91,SSE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,15,좋음,35.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,김포공항,김포공항,POI061,KEY_1,2026-08-18 00:30,25.8,33.0,24.0,88,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,17,보통,60.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-08-18T00:35:30.987869+09:00,남대문시장,남대문시장,POI115,KEY_2,2026-08-18 00:30,25.1,32.0,24.0,91,SSE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,좋음,38.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,노량진,노량진,POI063,KEY_3,2026-08-18 00:30,26.1,33.0,24.0,86,ESE,0.5,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,18,좋음,22,좋음,47.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,2026-08-18 00:30,25.1,32.0,24.0,91,SSE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,15,좋음,35.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,2026-08-18 00:30,25.1,32.0,24.0,91,SSE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,좋음,38.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2,2026-08-18 00:30,25.1,32.0,24.0,91,SSE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,15,좋음,35.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,서촌,서촌,POI067,KEY_3,2026-08-18 00:30,25.1,32.0,24.0,91,SSE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,15,좋음,35.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,성수카페거리,성수카페거리,POI068,KEY_4,2026-08-18 00:30,25.3,32.0,24.0,95,N,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,21,좋음,27.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,2026-08-18 00:30,25.7,33.0,24.0,90,ESE,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,점검중,0,점검중,0,좋음,30.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,2026-08-18 00:30,26.3,32.0,24.0,90,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,20,좋음,25.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3,2026-08-18 00:30,25.3,32.0,24.0,95,N,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,17,좋음,31.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,여의도,여의도,POI072,KEY_4,2026-08-18 00:30,26.3,32.0,24.0,90,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,17,좋음,17,보통,59.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-08-18T00:35:30.987869+09:00,연남동,연남동,POI073,KEY_1,2026-08-18 00:30,24.3,32.0,23.0,94,N,0.1,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,22,보통,53.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-08-18T00:35:30.987869+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,2026-08-18 00:30,26.3,32.0,24.0,90,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,17,좋음,17,보통,59.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-08-18T00:35:30.987869+09:00,용리단길,용리단길,POI076,KEY_3,2026-08-18 00:30,25.3,32.0,24.0,95,N,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,좋음,40.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,2026-08-18 00:30,25.3,32.0,24.0,95,N,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,좋음,40.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,익선동,익선동,POI116,KEY_1,2026-08-18 00:30,25.1,32.0,24.0,91,SSE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,15,좋음,35.0,,대기질에 이상이 없어요.,,
